open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1593734400000,226.46000000,226.54000000,225.32000000,226.29000000,16999.24733000,1593737999999,3842467.61319880,6872,7890.70517000,1784045.83036660,0
1593738000000,226.30000000,228.13000000,225.87000000,227.49000000,17216.30065000,1593741599999,3913699.26179710,8200,8979.02747000,2041124.06270220,0
1593741600000,227.48000000,227.68000000,226.32000000,226.58000000,11120.54122000,1593745199999,2525578.31649230,5846,5284.88001000,1200406.56126830,0
1593745200000,226.59000000,227.01000000,226.00000000,226.28000000,11598.02639000,1593748799999,2627403.03433080,4678,5005.61979000,1134114.35326740,0
1593748800000,226.29000000,226.75000000,225.65000000,226.65000000,11465.61706000,1593752399999,2594993.77564160,4682,4662.46999000,1055517.26351320,0
1593752400000,226.67000000,227.42000000,226.31000000,227.19000000,14616.70382000,1593755999999,3316375.15896840,6261,7993.89265000,1813833.17641150,0
1593756000000,227.20000000,227.52000000,226.58000000,226.71000000,9355.24726000,1593759599999,2123683.13957220,5301,4634.29548000,1052130.19387140,0
1593759600000,226.67000000,227.50000000,226.50000000,227.21000000,11489.05577000,1593763199999,2608215.99212680,5382,5934.74124000,1347648.85131450,0
1593763200000,227.23000000,228.11000000,226.73000000,227.18000000,15190.36540000,1593766799999,3455779.99972300,7700,8007.70950000,1821982.73142400,0
1593766800000,227.18000000,227.65000000,225.50000000,226.39000000,22684.31025000,1593770399999,5139590.48286690,8303,9485.09601000,2149742.12457370,0
1593770400000,226.38000000,226.75000000,225.74000000,226.47000000,12233.60168000,1593773999999,2767380.23898940,5761,5444.77093000,1232081.60632680,0
1593774000000,226.48000000,227.24000000,226.09000000,227.14000000,12526.55316000,1593777599999,2839893.54212830,5583,7501.22278000,1700947.88309870,0
1593777600000,227.12000000,227.88000000,226.72000000,227.31000000,14553.81797000,1593781199999,3308116.16432290,6194,8069.26264000,1834324.38539280,0
1593781200000,227.31000000,228.11000000,226.98000000,227.10000000,14503.87157000,1593784799999,3301425.34684880,5609,7466.45654000,1699771.17109380,0
1593784800000,227.10000000,227.40000000,226.25000000,226.80000000,13993.21538000,1593788399999,3174411.46025370,6391,6172.43506000,1400523.12304300,0
1593788400000,226.80000000,227.30000000,226.56000000,226.92000000,12235.84668000,1593791999999,2776804.99890510,5819,6686.20171000,1517463.63440570,0
1593792000000,226.92000000,227.41000000,226.50000000,226.74000000,12094.82061000,1593795599999,2745291.75316300,5921,6009.36398000,1364191.50548830,0
1593795600000,226.75000000,227.20000000,226.45000000,226.54000000,10135.32433000,1593799199999,2297909.06318280,4543,4760.17745000,1079417.86558350,0
1593799200000,226.55000000,226.98000000,226.10000000,226.27000000,10332.24124000,1593802799999,2340098.13057010,4954,5079.36965000,1150407.53477970,0
1593802800000,226.26000000,226.45000000,225.75000000,226.39000000,10903.80282000,1593806399999,2465002.77711980,4610,4432.16558000,1002096.42649790,0
1593806400000,226.40000000,226.86000000,225.87000000,226.80000000,7206.24426000,1593809999999,1631299.04445110,3696,3957.97043000,896311.82917550,0
1593810000000,226.79000000,226.91000000,226.22000000,226.70000000,4715.58990000,1593813599999,1068381.37652850,2987,2135.53870000,483878.00621300,0
1593813600000,226.70000000,226.77000000,225.98000000,226.09000000,5983.87428000,1593817199999,1353927.20120570,3207,2577.35887000,583225.61119000,0
1593817200000,226.07000000,226.07000000,223.97000000,224.87000000,31424.28137000,1593820799999,7069250.63118040,10667,15564.19047000,3499202.96090250,0
1593820800000,224.86000000,225.79000000,224.43000000,225.25000000,14597.79334000,1593824399999,3288785.04893480,6596,7082.89507000,1595933.75114150,0
1593824400000,225.25000000,225.55000000,224.86000000,225.38000000,12306.36198000,1593827999999,2771413.71541390,5366,6255.95340000,1408633.66620100,0
1593828000000,225.39000000,226.76000000,225.10000000,226.42000000,22619.94111000,1593831599999,5116652.87648060,9219,10503.81071000,2376188.84000980,0
1593831600000,226.42000000,226.86000000,226.05000000,226.08000000,7633.86401000,1593835199999,1728277.43715580,3639,4017.74147000,909600.88718620,0
1593835200000,226.09000000,226.51000000,225.84000000,226.03000000,8448.32351000,1593838799999,1909683.26256830,4293,3906.00608000,883003.86058050,0
1593838800000,226.04000000,226.63000000,225.84000000,226.59000000,10557.75845000,1593842399999,2388702.97544220,4700,5039.03938000,1139921.45337740,0
1593842400000,226.59000000,226.66000000,225.92000000,226.19000000,5372.40102000,1593845999999,1215043.87962940,3521,2367.41035000,535465.71120470,0
1593846000000,226.19000000,226.47000000,225.92000000,226.09000000,5679.94274000,1593849599999,1284606.95241240,3817,2342.92480000,529903.83435930,0
1593849600000,226.09000000,226.46000000,225.98000000,226.23000000,8991.75313000,1593853199999,2034234.52170870,3912,3988.64880000,902442.29264740,0
1593853200000,226.23000000,226.45000000,225.91000000,226.08000000,7103.47135000,1593856799999,1606519.83773640,3740,3591.43260000,812181.99768250,0
1593856800000,226.09000000,226.16000000,225.40000000,225.70000000,9905.49700000,1593860399999,2235792.69147680,4390,3771.14465000,851287.03852060,0
1593860400000,225.65000000,226.15000000,225.40000000,225.63000000,7437.19707000,1593863999999,1678919.34566450,4099,3327.83202000,751376.97223000,0
1593864000000,225.63000000,226.36000000,225.27000000,226.20000000,10300.86960000,1593867599999,2327846.56816560,5441,5357.28363000,1210705.62194390,0
1593867600000,226.19000000,226.52000000,226.00000000,226.33000000,7401.68941000,1593871199999,1674199.65863640,4671,4206.90003000,951564.08855810,0
1593871200000,226.33000000,226.55000000,225.76000000,225.84000000,9294.03738000,1593874799999,2101160.76179830,4573,4375.03780000,989119.67934130,0
1593874800000,225.85000000,226.10000000,225.11000000,225.86000000,14549.17674000,1593878399999,3283226.47350920,6519,7435.16969000,1677974.21526620,0
1593878400000,225.85000000,226.09000000,225.42000000,225.92000000,11742.24617000,1593881999999,2650820.41013400,5075,5057.49197000,1141777.49459990,0
1593882000000,225.92000000,230.71000000,225.68000000,229.93000000,61913.13285000,1593885599999,14143853.40092700,18307,35604.10331000,8133003.31989480,0
1593885600000,229.95000000,230.54000000,227.93000000,228.72000000,28948.50826000,1593889199999,6638400.87531540,11348,14869.47895000,3410469.63323390,0
1593889200000,228.72000000,229.12000000,228.04000000,228.98000000,11974.54753000,1593892799999,2737767.14134230,5530,6821.40930000,1559768.10215850,0
1593892800000,228.99000000,229.50000000,228.76000000,228.96000000,10901.61168000,1593896399999,2497822.74050840,4942,5434.57889000,1245241.74523230,0
1593896400000,228.96000000,229.25000000,228.36000000,228.72000000,7646.43643000,1593899999999,1749073.02417520,4047,4036.39138000,923278.91760400,0
1593900000000,228.75000000,229.10000000,228.35000000,228.86000000,5045.25916000,1593903599999,1153959.14562240,3121,2642.44613000,604476.64950600,0
1593903600000,228.85000000,229.29000000,228.45000000,229.17000000,7354.64601000,1593907199999,1682705.53516080,3472,4126.35043000,944220.48888260,0
1593907200000,229.24000000,229.85000000,228.99000000,229.03000000,16820.51715000,1593910799999,3858177.00233620,6399,7676.43243000,1760802.59074800,0
1593910800000,229.02000000,229.26000000,228.72000000,228.90000000,8281.30079000,1593914399999,1896717.89488950,3868,4695.01721000,1075391.36030220,0
1593914400000,228.88000000,229.13000000,227.55000000,227.91000000,14330.32545000,1593917999999,3270910.26348090,5169,6230.06204000,1422404.76517490,0
1593918000000,227.95000000,228.32000000,227.39000000,228.24000000,11318.41481000,1593921599999,2579979.23114270,5310,6137.68480000,1399130.21788590,0
1593921600000,228.23000000,228.37000000,227.76000000,228.24000000,9221.24656000,1593925199999,2102907.74679650,5491,4736.84163000,1080304.92964150,0
1593925200000,228.22000000,228.34000000,226.42000000,226.74000000,21977.85123000,1593928799999,4998021.52078670,8785,8731.11916000,1986196.00815800,0
1593928800000,226.75000000,227.19000000,226.42000000,226.73000000,15261.68026000,1593932399999,3462058.44141010,7515,7803.08465000,1770191.06784480,0
1593932400000,226.69000000,227.04000000,226.33000000,226.67000000,9883.15080000,1593935999999,2240167.55039850,5297,4556.67022000,1032818.11326340,0
1593936000000,226.67000000,227.11000000,226.45000000,226.85000000,9449.08196000,1593939599999,2142863.23846210,4598,5726.58999000,1298650.82576290,0
1593939600000,226.86000000,226.95000000,223.05000000,224.47000000,30792.57949000,1593943199999,6940640.18789740,11113,11672.45513000,2630577.60819960,0
1593943200000,224.48000000,225.50000000,223.48000000,225.17000000,27497.84334000,1593946799999,6177937.29842490,10121,13756.53050000,3091075.57662860,0
1593946800000,225.15000000,225.75000000,225.05000000,225.14000000,7808.61834000,1593950399999,1759939.97158410,4753,3567.31631000,803997.65114240,0
1593950400000,225.14000000,225.58000000,224.25000000,225.58000000,14500.09840000,1593953999999,3260827.41118860,7251,7087.55226000,1593837.27105890,0
1593954000000,225.58000000,225.58000000,224.56000000,224.82000000,8789.89480000,1593957599999,1977809.00934840,5392,3967.57398000,892649.75338230,0
1593957600000,224.82000000,225.39000000,224.56000000,225.32000000,8242.08141000,1593961199999,1854662.95458010,4959,4046.95756000,910739.36720330,0
1593961200000,225.33000000,226.26000000,224.80000000,225.00000000,15139.00717000,1593964799999,3415913.76626460,6650,7554.30228000,1704650.72404570,0
1593964800000,224.96000000,225.71000000,224.75000000,225.02000000,9837.06919000,1593968399999,2215035.03276010,5123,4958.05719000,1116354.61575280,0
1593968400000,225.04000000,225.59000000,224.90000000,225.16000000,8840.08672000,1593971999999,1991706.15041550,3868,3946.41545000,889033.41976120,0
1593972000000,225.15000000,225.60000000,224.85000000,225.42000000,5408.09724000,1593975599999,1218204.39541590,3191,2699.85903000,608218.77546170,0
1593975600000,225.41000000,225.84000000,225.11000000,225.18000000,7693.29146000,1593979199999,1735141.15703340,3352,4114.43169000,928016.12060990,0
1593979200000,225.18000000,225.45000000,224.86000000,224.94000000,6791.33807000,1593982799999,1529119.04511060,3341,2816.44994000,634192.08370110,0
1593982800000,224.95000000,227.00000000,223.22000000,226.17000000,33536.46459000,1593986399999,7546466.96763730,12040,17794.77437000,4005110.67202030,0
1593986400000,226.20000000,228.04000000,226.18000000,227.44000000,36720.48771000,1593989999999,8346249.01610460,11428,19478.43983000,4428305.02735700,0
1593990000000,227.45000000,228.24000000,226.96000000,227.56000000,17606.59312000,1593993599999,4007205.36572560,7063,9726.04951000,2213774.30190360,0
1593993600000,227.54000000,228.12000000,226.93000000,226.98000000,13110.17961000,1593997199999,2982041.22680470,5914,6664.75278000,1516313.58452650,0
1593997200000,226.99000000,228.09000000,226.99000000,228.05000000,15302.58667000,1594000799999,3485693.66437190,6023,8280.44598000,1886154.18532010,0
1594000800000,228.05000000,228.80000000,227.80000000,227.97000000,20460.46389000,1594004399999,4673122.55791730,6981,10408.73040000,2377286.90806320,0
1594004400000,227.97000000,228.16000000,227.39000000,227.86000000,11590.90984000,1594007999999,2639622.94896420,4331,4744.80691000,1080606.49849880,0
1594008000000,227.88000000,228.23000000,227.67000000,227.88000000,12625.54007000,1594011599999,2878217.89923590,5004,6111.70929000,1393320.52383260,0
1594011600000,227.89000000,228.92000000,227.78000000,228.88000000,21852.04058000,1594015199999,4989293.36708090,7628,10974.89163000,2505521.10362990,0
1594015200000,228.89000000,233.26000000,228.64000000,232.57000000,108382.44321000,1594018799999,25082239.23816190,27050,54507.32378000,12611550.70790830,0
1594018800000,232.58000000,234.15000000,232.08000000,232.80000000,70121.73382000,1594022399999,16347473.71015020,17880,35178.34013000,8200018.59031520,0
1594022400000,232.82000000,233.46000000,232.45000000,233.40000000,26300.05584000,1594025999999,6125804.28712370,8902,12634.48799000,2943069.31980160,0
1594026000000,233.43000000,234.01000000,232.54000000,233.89000000,29158.08113000,1594029599999,6803686.04130440,9236,16098.16052000,3755756.38679450,0
1594029600000,233.89000000,234.49000000,232.93000000,233.47000000,23874.53434000,1594033199999,5576885.19247860,8903,10764.04661000,2514234.10485500,0
1594033200000,233.48000000,235.93000000,233.39000000,235.69000000,47015.43063000,1594036799999,11034051.25532470,12907,25674.71175000,6025571.77183510,0
1594036800000,235.69000000,237.50000000,234.59000000,237.06000000,68010.34654000,1594040399999,16052199.97635260,19494,31500.28200000,7436914.67390270,0
1594040400000,236.99000000,237.36000000,236.33000000,236.74000000,33186.26538000,1594043999999,7858169.86426760,11772,15853.68282000,3754058.94477120,0
1594044000000,236.77000000,237.06000000,235.26000000,235.97000000,37969.29658000,1594047599999,8951844.21925750,12206,19035.20922000,4487668.54853830,0
1594047600000,235.97000000,238.86000000,235.27000000,238.79000000,64453.06120000,1594051199999,15291808.80023470,18399,34797.87437000,8257019.50340280,0
1594051200000,238.78000000,240.77000000,238.02000000,239.42000000,71291.29583000,1594054799999,17057700.99191870,21941,34846.65668000,8340136.22927710,0
1594054800000,239.42000000,239.94000000,238.66000000,239.58000000,31402.39545000,1594058399999,7516435.98625370,9839,18193.73998000,4353899.49542700,0
1594058400000,239.58000000,239.92000000,238.60000000,238.85000000,17265.89905000,1594061999999,4129913.14511090,6628,8610.96505000,2060101.16889630,0
1594062000000,238.86000000,238.95000000,237.87000000,238.42000000,20101.82013000,1594065599999,4792532.27203530,7442,8130.24837000,1938455.85411370,0
1594065600000,238.39000000,238.73000000,237.29000000,238.19000000,23671.21680000,1594069199999,5631641.80459960,9239,11182.12645000,2660463.68708810,0
1594069200000,238.20000000,239.96000000,238.16000000,238.69000000,24754.19477000,1594072799999,5911400.85062230,8096,17481.90725000,4174238.06817640,0
1594072800000,238.69000000,239.56000000,238.18000000,239.43000000,25022.37684000,1594076399999,5978462.95131120,7724,14025.07526000,3350839.57364110,0
1594076400000,239.44000000,242.00000000,239.10000000,241.60000000,47895.33880000,1594079999999,11544485.59925700,14648,27959.82245000,6740180.62425870,0
1594080000000,241.60000000,243.77000000,241.14000000,241.35000000,45759.47858000,1594083599999,11097028.41412450,15527,24717.08035000,5993718.25890100,0
1594083600000,241.35000000,241.47000000,238.61000000,239.64000000,36428.50431000,1594087199999,8740319.05895840,12767,18243.03899000,4376354.01557510,0
1594087200000,239.60000000,239.60000000,237.86000000,239.31000000,32282.01090000,1594090799999,7706279.05287890,10462,15569.04586000,3716279.39146170,0
1594090800000,239.28000000,240.41000000,239.04000000,239.25000000,19593.56956000,1594094399999,4697111.72930210,7927,10074.64201000,2415165.04601240,0
1594094400000,239.25000000,239.57000000,238.55000000,238.67000000,14079.25739000,1594097999999,3365919.33717790,5957,7301.19240000,1745564.90090600,0
1594098000000,238.66000000,239.38000000,238.23000000,238.94000000,18429.17565000,1594101599999,4400183.74290480,7833,7952.72625000,1899018.11366070,0
1594101600000,238.95000000,239.03000000,235.97000000,237.25000000,40406.82875000,1594105199999,9581229.69065070,13500,17771.32683000,4212744.79518070,0
1594105200000,237.27000000,237.27000000,235.93000000,237.04000000,26285.07799000,1594108799999,6217771.23677480,9141,11736.40383000,2776341.94248840,0
1594108800000,237.03000000,237.83000000,236.54000000,237.44000000,18977.45177000,1594112399999,4503283.86114790,6255,9966.06665000,2365048.81436510,0
1594112400000,237.44000000,237.45000000,234.40000000,235.15000000,33959.61260000,1594115999999,8011888.35022000,9960,11941.15039000,2816352.99903680,0
1594116000000,235.21000000,236.78000000,234.88000000,236.53000000,18319.34264000,1594119599999,4324036.23654770,7534,10173.37132000,2401380.64404580,0
1594119600000,236.53000000,237.99000000,235.95000000,237.55000000,23712.91725000,1594123199999,5623442.20692290,8218,11953.67991000,2835018.87363310,0
